Player One,Player Two,Winner,Termination,Total Moves,Total Milliseconds,Starting Tile Index,Transcript,Winning Path One,Winning Path Two
Monte Carlo Beeline 4,Monte Carlo Beeline 4,Two,Normal,22,78598,9,N03 N13 G N35 N31 G N03+ S04 G S09 S17 G S06 S01 G N19 S19 G S02 S05+ G S19,,N19 N18 N37 N36 S26 S25 S09 S10 S02 S01 S05 S19
Monte Carlo Tree Search,Monte Carlo Tree Search,One,Normal,30,92520,29,S40 S07 G N33 S23 G S26 S25 G S16 S26+ G S25 N32+ G N21 S22+ G S06 N28 G N31 N20 G S10 N38 G N38+ N37+ G,N20 N19 N18 N37 N36 S26 S25 S09 S08 S07 S06 S20,
Monte Carlo Beeline 3,Monte Carlo Beeline 3,Two,Normal,32,121187,67,S20 S10 G S15 N33 G S27 S26 G S22 S03 G S13 S29 G N30 N29 G N12 N31 G S04 N28 G N04 N03 G S28 S31 G S05 S31,,N22 S32 S31 S30 S29 S28 S27 S26 S25 S24 S23 S22
Parallel MCTS Beeline,Monte Carlo Beeline 4,Two,Normal,18,134610,43,S33 N01 G N27 N22 G N24 S19 G S38 S22 G S16 N10 G S09 S25 G,,N19 N05 N01 N02 N10 N11 N27 N28 S38 S39 S20 S19
Monte Carlo Tree Search,Parallel MCTS,One,Normal,24,144231,28,N30 S38 G S36 S05 G S33 N06 G N24 N08 G S21 N33 G N28+ S21+ G S29 S34 G S28 S40+ G,N14 N31 N30 S40 S39 S20 S19 S05 S04 S16 S15 S14,
Monte Carlo Beeline 4,Monte Carlo Tree Search,One,Normal,25,83165,20,N22 S37 G S31 S32 G N28 N08 G N24 S19 G S16 N19 G S18+ S19 G N18 N17 G N03 S06 G S21,N21 N22 S32 S33 S15 S16 S04 S05 S19 S20 S06 S21,
Monte Carlo Beeline 3,Monte Carlo Beeline 4,Two,Normal,28,94246,5,N02 N10 G N31 N27 G S10 S01 G S15 S03 G S40 S21 G S27 S04 G N11 S17 G S20 S18 G S21 S22+ G S18,,N15 N33 N32 S22 S21 S06 S20 S19 S18 S17 S16 S15
Parallel MCTS,Monte Carlo Beeline 3,One,Normal,19,109528,42,S35 S11 G N19 N27 G S32 N31 G S38 N03 G N37 S03 G S23 N16 G N12,N16 N04 N03 N13 N12 N11 N27 N26 S36 S35 S17 S16,
Parallel MCTS,Monte Carlo Tree Search,Two,Normal,18,153661,24,N26 S25 G N21 S18 G N35 S29 G N02 N14 G N08 S22 G N06+ S20 G,,N10 N02 N01 N07 N06 N21 N40 S30 S29 S28 S27 S26 S25 S09 S10
Parallel MCTS Beeline,Parallel MCTS Beeline,One,Normal,21,168219,24,N26 N37 G S31 N38 G N01 N22 G S18 S19 G S16 S24 G N10 S17 G N08 N06 G,N05 N01 N07 N08 N09 N25 N26 S36 S35 S17 S16 S04 S05,
